scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/ahst,Puducherry,myscheme,The scheme aims to enhance the skill of those who have completed the basic training and are interested in advanced training in their trade or the candidates having technical qualifications willing to undergo some special high skilled training to start their ventures or to get suitable employment.,Employment & Skill Development,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Employment,ITI,Skill,Stipend,Training,Youth,Employment & Skill Development,Student / Youth,Financial Assistance / Grant,,,,,,
"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/atihcdohs,Puducherry,myscheme,"Through the ""Advanced Training in Handicrafts"" scheme, candidates will be sponsored for training in other states where the craft is practised to its finest. The training program focuses on enhancing craft skills, enabling participants to acquire advanced techniques and proficiency in their craft.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Craft,Handicrafts,Stipend,Trainee,Training,Employment & Skill Development,Financial Assistance / Grant,Advanced,Proficiency,Enabling Participants,,,,,
"""Agricultural Income Tax Holiday"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/aith-atisis,Assam,myscheme,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Not Specified,Not Specified,Not Specified,Not Specified,Holiday,Incentive,Income Tax,Industry,Tea,Business & Finance,Industry / MSME,Incentivize Manufacturers,Implemented Finance,Manufacturers Crush,,,,,
"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/aipbo-faascdmf,Puducherry,myscheme,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Fisherman,Not Specified,Not Specified,Boat,Fisheries,Fisherman,Insurance,Marine,Agriculture,Financial Assistance / Grant,Annual,Availing Subsidy,Production Subsidies,,,,,
"""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/aewc-mesifai-vi,Puducherry,myscheme,"Through this scheme, 50% of the fees paid to the recognized institution/consultant for conducting the energy/water audit is reimbursed. The unit should have achieved saving in energy/water minimum by 10% of average monthly consumption of previous 12 months before conduct of audit.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Not Specified,Entrepreneur / Business Owner,Not Specified,Not Specified,Audit,Business,Energy,Entrepreneur,Industry,Water,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,
"""Assistance for Intellectual Property Protection Support"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/aipps-mesifai-vi,,india_only,"Through this scheme, assistance of 50% is provided subject to a maximum of ₹2,00,000/- for the expenditure for obtaining domestic patent (₹5,00,000/- for international patent). The applications are accepted offline in the prescribed form available on the Official Website of the Department.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Not Specified,Entrepreneur / Business Owner,Not Specified,Not Specified,Patent,IPR,Business,Enterprise,MSME,Business & Finance,Industry / MSME,Entrepreneur / Business Owner,,,,,,,
"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme",https://www.myscheme.gov.in/schemes/beispgccpts,Puducherry,myscheme,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. The paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Farmer,Not Specified,Not Specified,Agriculture,Farmer,Financial Assistance,Paddy,Subsidy,Financial Assistance / Grant,Investment,Ended,Yanam,Production Technology,,,,,
"""Capital Investment Subsidy (for New and Existing Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",https://www.myscheme.gov.in/schemes/cis-mesifa-cii,Puducherry,myscheme_only,"Through ""Capital Investment Subsidy (for New and Existing Industries)"", the enterprises & entrepreneurs are provided subsidies of upto 45% on the investments made on land, buildings, plants and machinery. The applications are accepted offline in the prescribed form available on the Official website.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Building,Entrepreneur,Investment,Machinery,MSME,Subsidy,Employment & Skill Development,Industry / MSME,Entrepreneur / Business Owner,,,,,,
"""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cis5aciskr-mesifai,Puducherry,myscheme,"The ""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Department of Industrial Development (Industries and Commerce), UT of Puducherry.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Industry / MSME,Subsidy,Not Specified,Not Specified,Not Specified,Business,Industry,Investment,Machinery,Subsidy,Business & Finance,Industry / MSME,Industries,Capital,Component Motivation,,,,,
"""Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cisitites-mesifai,Puducherry,myscheme_only,"The new IT/ITES industrial unit which started production on or after 6-11-2002 are provided with subsidy on the investments made on plant and machinery @ 20% thereon subject to a maximum of ₹20,00,000/- for the large, medium, small and micro enterprises during the period of operation of the scheme.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Subsidy,Entrepreneur / Business Owner,Not Specified,Not Specified,Business,Entrepreneur,Information Technology,Investment,Subsidy,Employment & Skill Development,Entrepreneur / Business Owner,Started Production,Industrial Unit,Plant Machinery,,,,,
