block href,block,mt-3,mt-3 2,bg-transparent,bg-transparent 2,bg-transparent 3,bg-transparent 4,bg-transparent 5,bg-transparent 6
https://www.myscheme.gov.in/schemes/ggtwsgbocwwb,Go-Green Three Wheelers Scheme (GBOCWWB),Gujarat,"Under the scheme, a one-time subsidy will be provided on the purchase of battery-operated tricycle (e-rickshaw) vehicles to registered construction disabled workers. Also, assistance will be available for the amount of Registration Fee and Road Tax paid for the first time of the new Three-Wheeler.",Building Worker,Construction Worker,E-rickshaw,Labour,Person With Disability,PwD
https://www.myscheme.gov.in/schemes/sfmcas-glwb,Full Medical Checkup Assistance Scheme- Gujarat Labour Welfare Board,Gujarat,The objective of the scheme is to conduct health check-ups for male Shramyogis above 45 years of age and female Shram Yogis above 35 years of age who are working in the organized sector in the state of Gujarat.,Checkup,Labour,Medical,Organized Worker,Shramyogi,
https://www.myscheme.gov.in/schemes/ssscsitipcsvs,Scholarship/Stipend to SC Students for ITI/Professional Courses (Swami Vivekanand Scholarship),Gujarat,"Under the scheme, a monthly stipend/scholarship will be given to Scheduled Caste Category students who are studying professional courses in Government or Private Industrial Training Institute (ITI).",ITI,Professional Courses,SC,Scholarship,Stipend,Students
https://www.myscheme.gov.in/schemes/nhdp-dba-saic,National Handicrafts Development Programme: Direct Benefit to Artisans - Supports to Artisans in Indigent Circumstances,Ministry Of Textiles,"The scheme ""Direct Benefit to Artisans - Supports to Artisans in Indigent Circumstances"" is designed to give a boost to the handicraft sector in India. Assistance of upto ₹8,000/- per month is granted to the Artisans in Indigent Circumstances in the form of monthly allowance/lump sum grant/ both.",Artisan,Financial Assistance,Handicraft,Pension,Senior Citizen,Social Welfare
https://www.myscheme.gov.in/schemes/masglwb,Maternity Assistance Scheme- Gujarat Labour Welfare Board,Gujarat,"The scheme provides financial assistance to female workers and the wives of workers to cover expenses incurred for health check-ups, medicine, nutritious diet, etc., during the maternity period.",Financial Assistance,Industrial Worker,Maternity,Organized Worker,Woman,
https://www.myscheme.gov.in/schemes/tascs12s,Tablet Assistance to Scheduled Caste Students of 12th Standard,Gujarat,"Under the scheme, students in the 12th standard belonging to the Scheduled Caste category will receive a tablet by paying a token fee of ₹1,000/-.",12th Standard,Scheduled Caste,Student,Tablet,,
https://www.myscheme.gov.in/schemes/faspalscf,Financial Assistance Scheme for Purchase of Agricultural Land to Scheduled Caste Farmers,Gujarat,"The scheme was launched on in the year 1986. Under the scheme, financial assistance is provided to farmers belonging to the scheduled castes to purchase agricultural land, with a maximum limit of 2 acres, for self-cultivation.",Agriculture,Farmer,Financial Assistance,Purchase Of Land,Scheduled Caste,
https://www.myscheme.gov.in/schemes/lascscpt,Loan Assistance to Scheduled Castes Students for Commercial Pilot Training,Gujarat,The scheme was commenced in the year 1987 with the objective to provide financial assistance to bright Scheduled Castes Students who want to undergo training for commercial pilot license.,Loan,Pilot Training,SC,,,
https://www.myscheme.gov.in/schemes/ssboscbpbs,Scheme for Small Business Owners of Scheduled Castes to Buy a Place of Business/Shop,Gujarat,"Under the scheme, financial assistance in the form of loans and subsidies is provided by banks to individuals belonging to the Scheduled Castes category. This assistance is aimed at enabling them to purchase business premises or shops in urban areas for business development.",Business Development,Business Premise,Loan,Scheduled Caste,Shop,Subsidy
https://www.myscheme.gov.in/schemes/csssscspscc,Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SC Category),Gujarat,"The scheme “Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SCSP)” is implemented by the Directorate of Animal Husbandry, Government of Gujarat. Under this scheme, the financial assistance is given to Scheduled Caste beneficiaries for construction of Cattle Shed for 2 animals.",Animal Husbandry,Cattle Shed,Farmer,Financial Assistance,Scheduled Caste,Subsidy
https://www.myscheme.gov.in/schemes/apdccsifdsgc,Assistance for Power Driven Chaff Cutter Scheme under Integrated Fodder Development Scheme (General Category),Gujarat,"The scheme provides financial assistance to dairy farmers belonging to General Caste category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green & dry fodder which is economically important for their profitable dairy farming.",Animal Husbandry,Chaff Cutter,Dairy Farmer,Financial Assistance,,
https://www.myscheme.gov.in/schemes/ncessis,National Centre for Earth Science Studies Internship Scheme,Ministry Of Earth Sciences,"The “National Centre for Earth Science Studies Internship” scheme by the Earth System Science Organization, Ministry of Earth Sciences, provides various opportunities for school as well as college students to familiarise and/or pursue research on different branches of earth sciences.",Dissertation,Graduation,Internship,NCESS,Post Graduation,Research
